timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1723940861.31018,139.5489959716797,-93.0,89.0,-2752.0,11.0,-4.0
1723940861.3151863,139.5540008544922,-102.0,97.0,-2744.0,3.0,-5.0
1723940861.3241868,139.56399536132812,-104.0,94.0,-2757.0,5.0,1.0
1723940861.3292031,139.56900024414062,-106.0,95.0,-2739.0,6.0,-7.0
1723940861.3392663,139.57899475097656,-106.0,95.0,-2762.0,10.0,-4.0
1723940861.3442297,139.58399963378906,-102.0,94.0,-2740.0,5.0,-11.0
1723940861.3541777,139.593994140625,-94.0,97.0,-2765.0,4.0,4.0
1723940861.3591807,139.5989990234375,-97.0,93.0,-2744.0,2.0,1.0
1723940861.3707643,139.60899353027344,-96.0,101.0,-2758.0,7.0,-4.0
1723940861.3744082,139.61399841308594,-98.0,98.0,-2735.0,3.0,-7.0
1723940861.3844037,139.62399291992188,-110.0,95.0,-2744.0,9.0,-10.0
1723940861.3905413,139.62899780273438,-98.0,96.0,-2742.0,0.0,-3.0
1723940861.399346,139.63900756835938,-99.0,101.0,-2753.0,2.0,1.0
1723940861.4043043,139.6439971923828,-97.0,88.0,-2734.0,6.0,-7.0
1723940861.4141421,139.6540069580078,-108.0,107.0,-2760.0,5.0,-9.0
1723940861.4193318,139.65899658203125,-109.0,102.0,-2741.0,-2.0,-6.0
1723940861.431594,139.66900634765625,-88.0,107.0,-2755.0,2.0,-6.0
1723940861.4344187,139.6739959716797,-89.0,102.0,-2757.0,0.0,-6.0
1723940861.4438663,139.6840057373047,-103.0,93.0,-2751.0,5.0,-10.0
1723940861.4488935,139.68899536132812,-93.0,97.0,-2754.0,8.0,-5.0
1723940861.4588728,139.69900512695312,-105.0,97.0,-2765.0,4.0,-7.0
1723940861.463873,139.70399475097656,-105.0,87.0,-2743.0,6.0,-11.0
1723940861.4738739,139.71400451660156,-105.0,95.0,-2751.0,-1.0,2.0
1723940861.478873,139.718994140625,-101.0,101.0,-2749.0,5.0,3.0
1723940861.4888713,139.72900390625,-99.0,96.0,-2753.0,6.0,0.0
