Mag_X,Mag_Y,Mag_Z
-617.0,6397.0,832.0
-637.0,6412.0,715.0
-790.0,6500.0,455.0
-887.0,6702.0,257.0
-925.0,6692.0,20.0
-962.0,6692.0,-85.0
-1155.0,6495.0,-282.0
-1155.0,6495.0,-282.0
-1207.0,6452.0,-532.0
-1222.0,6490.0,-607.0
-1317.0,6545.0,-800.0
-1422.0,6422.0,-927.0
-1422.0,6422.0,-927.0
-1437.0,6777.0,-1310.0
-1522.0,6437.0,-1217.0
-1537.0,6707.0,-1305.0
-1537.0,6397.0,-1237.0
-1580.0,6367.0,-1237.0
-1575.0,6337.0,-1375.0
-1590.0,6407.0,-1395.0
-1615.0,6322.0,-1445.0
-1610.0,6357.0,-1482.0
-1710.0,6317.0,-1507.0
-1710.0,6317.0,-1507.0
-1700.0,6362.0,-1612.0
-1667.0,6272.0,-1765.0
-1767.0,6160.0,-1822.0
-1762.0,6205.0,-1917.0
-1842.0,6155.0,-1995.0
-1862.0,6175.0,-2085.0
-1950.0,6065.0,-2212.0
-1950.0,6065.0,-2212.0
-2020.0,6002.0,-2365.0
-2045.0,5947.0,-2395.0
-2087.0,5947.0,-2405.0
-2182.0,5852.0,-2517.0
-2187.0,5795.0,-2522.0
-2245.0,5700.0,-2577.0
-2292.0,5715.0,-2670.0
-2345.0,5700.0,-2620.0
-2365.0,5625.0,-2587.0
-2337.0,5992.0,-2872.0
-2432.0,5615.0,-2620.0
-2495.0,5522.0,-2567.0
-2552.0,5542.0,-2582.0
-2637.0,5477.0,-2547.0
-2690.0,5462.0,-2532.0
-2685.0,5487.0,-2487.0
-2815.0,5380.0,-2345.0
-2830.0,5432.0,-2315.0
-2925.0,5402.0,-2152.0
-2940.0,5310.0,-2030.0
-2997.0,5390.0,-1937.0
-3040.0,5285.0,-1715.0
-2950.0,5330.0,-1635.0
-3187.0,5345.0,-1435.0
-3170.0,5345.0,-1287.0
-3232.0,5365.0,-1065.0
-3232.0,5365.0,-1065.0
-3202.0,5355.0,-622.0
-3150.0,5335.0,-380.0
-3150.0,5335.0,-380.0
-3072.0,5335.0,187.0
-3025.0,5340.0,405.0
-2945.0,5270.0,587.0
-2877.0,5220.0,902.0
-2690.0,5245.0,1330.0
-2570.0,5205.0,1532.0
-2375.0,4960.0,1950.0
-2212.0,4895.0,2100.0
-1950.0,4860.0,2437.0
-1820.0,5042.0,2517.0
-1570.0,4977.0,2690.0
-1470.0,4972.0,2812.0
-1340.0,4945.0,2950.0
-1097.0,4895.0,3070.0
-877.0,4810.0,3227.0
-830.0,4765.0,3290.0
-647.0,4825.0,3202.0
-595.0,4770.0,3417.0
-465.0,4750.0,3442.0
-385.0,4727.0,3482.0
-322.0,4652.0,3497.0
-322.0,4652.0,3497.0
